plant_id,plant_name,country,year,co2_emissions_tons,co2_captured_tons,energy_consumption_kwh,renewable_energy_percentage,revenue_usd,expenses_usd,biodiversity_impact_score,ecosystem_impact_area_ha,species_impacted,reforestation_area_ha,compliance_score,audit_count,women_in_leadership_percentage,investment_social_programs_usd,risk_category,risk_description,mitigation_plan,future_emission_projection_tons,paris_agreement_alignment_score
b79bd343,"Reyes, Gonzalez and Valenzuela",Lao People's Democratic Republic,2015,4312.5,797.81,952060.26,99.34,26566661.79,5296618.92,3.6,4.82,33,75.98,87.82,5,38.2,71191.84,High,Large decide even piece soldier behavior.,Magazine each surface finish manage question south.,441.14,48.64
9737edd1,"Johnson, White and Schneider",Iraq,2016,4085.2,158.32,509113.14,47.51,9022280.24,11171569.94,6.9,19.5,35,90.88,80.46,5,16.67,11840.51,Low,Stop just follow.,Message provide sense when opportunity source herself.,1792.09,69.85
ede85a9a,Reid LLC,Qatar,2017,2679.23,209.57,4752369.16,70.54,22832326.76,13296000.78,6.28,11.11,40,59.19,92.68,5,12.84,469336.24,Low,Have ability position trouble.,Big buy best career.,2396.77,69.27
8a196f6f,Frazier-Edwards,Cuba,2019,3988.91,82.18,4996001.34,71.46,25452980.65,13873473.32,7.8,18.28,37,15.44,91.22,2,15.67,470043.26,High,Natural into when open.,International current let blue.,4283.43,19.25
fff92af5,"Bradshaw, Carter and Flores",Papua New Guinea,2015,4278.09,292.11,891251.75,55.93,37047650.28,2516207.92,1.2,36.32,19,86.28,91.53,3,12.93,490603.55,Low,Once cultural listen term.,Let wind more across.,4325.5,60.87
7b3922ce,"Bonilla, Hall and Hays",Nauru,2019,1934.41,827.9,1828548.72,58.75,6220496.28,6223428.28,9.76,98.99,50,71.19,97.98,4,37.2,371727.41,Low,Body record teach magazine program there.,Group institution police exist road respond.,4587.95,41.43
3ae200ea,"Cruz, Frank and Smith",Saint Kitts and Nevis,2021,1449.66,975.48,804751.24,30.49,28948611.98,9877728.4,3.98,90.38,42,9.37,96.37,3,41.56,23023.93,High,Our too method loss majority realize magazine between.,Follow either with agency quickly itself do daughter.,3133.88,31.22
d55ec028,Mclaughlin LLC,Montserrat,2019,1935.68,576.75,2720568.99,42.61,9634635.13,15016159.44,5.21,94.48,0,13.94,97.84,4,43.8,243467.44,Low,People majority process but east.,Herself guess war dinner consider.,3479.38,86.31
69eb4ea3,"Wilson, Jones and Dillon",Benin,2015,3570.62,275.18,2410181.39,84.28,38118965.82,10218283.99,6.38,7.02,12,59.1,79.18,4,23.76,353509.38,High,Commercial them color.,Describe book now past recently guess.,1787.93,75.34
38aae192,Morgan Inc,Chad,2022,3682.09,400.19,2953266.77,53.26,46486499.95,9190673.82,6.29,95.89,2,12.68,81.44,5,17.61,320930.32,Low,Up society great like age page.,Professor your defense amount dog area building.,3274.53,89.76
5664741c,Skinner LLC,Saint Lucia,2022,3702.49,822.73,1035482.89,66.58,41803662.46,10425911.32,4.11,76.25,10,39.22,75.41,2,31.13,154070.6,Medium,Star clear language along.,Someone significant wrong memory degree morning we.,1030.96,75.51
a823ce4f,"Morales, Cooper and Williams",Kazakhstan,2019,2069.43,210.06,2406739.84,16.19,14290249.99,9405129.68,9.53,6.39,23,63.4,94.13,3,31.88,297675.48,Low,Some that simply goal color western.,Too TV off pass PM fear.,3202.35,96.57
570f7ab0,Mccormick-Dickerson,Belize,2020,1280.29,544.68,2691729.64,86.53,47825739.48,19916551.27,6.11,62.59,36,40.17,72.08,5,43.34,428592.79,Medium,Name beyond recent claim.,Future think education society last whom seem.,845.16,62.82
75316bc8,"Kane, House and Olsen",Timor-Leste,2022,2946.07,580.88,2495678.8,71.45,12720570.7,4592298.25,3.78,11.24,32,8.07,86.69,5,28.16,468076.83,Medium,This book other.,Issue player notice fill.,425.03,76.92
0cebf656,Peterson LLC,Honduras,2022,2531.04,473.46,4783305.17,96.99,10658971.53,5500509.47,9.7,96.49,41,15.98,85.29,2,24.16,22820.83,High,Agreement discover child measure.,Impact indicate cold both.,1586.86,2.88
